"age","net","gun","sex","year","previous","nruns"
36,NA,64.57,"M",2007,3,5
37,NA,67.3,"M",2008,4,5
50,87.5,88.45,"M",2001,0,6
51,89.55,90.3,"M",2002,1,6
52,93.75,95.67,"M",2003,2,6
53,92.4,94.73,"M",2004,3,6
54,94.73,96.17,"M",2005,4,6
55,101.2,102.2,"M",2006,5,6
33,87.9,89.77,"M",2004,0,4
34,123.3,129.1,"M",2005,1,4
35,106.4,111.5,"M",2006,2,4
36,NA,72.15,"M",2007,3,4
48,NA,104.9,"M",1999,0,4
49,92.5,96.95,"M",2000,1,4
56,NA,94.7,"M",2007,2,4
57,NA,99.13,"M",2008,3,4
44,83.82,85.58,"M",2004,0,5
45,84.08,86.78,"M",2005,1,5
46,84.63,84.9,"M",2006,2,5
47,NA,81.6,"M",2007,3,5
48,NA,81.22,"M",2008,4,5
65,NA,136.4,"M",1999,0,6
66,128.5,128.5,"M",2000,1,6
67,129,132,"M",2001,2,6
68,129.6,129.6,"M",2002,3,6
69,130.2,130.2,"M",2003,4,6
70,166.2,166.2,"M",2004,5,6
36,96.25,101.7,"M",2002,0,5
37,74.97,79.9,"M",2003,1,5
38,73.55,74.08,"M",2004,2,5
41,NA,88.32,"M",2007,3,5
42,NA,89.95,"M",2008,4,5
45,72.52,73.3,"M",2003,0,3
46,72.5,73.35,"M",2004,1,3
47,74.2,75.23,"M",2005,2,3
30,71.83,73.45,"M",2000,0,5
31,69.13,70.02,"M",2001,1,5
32,67.82,68.1,"M",2002,2,5
33,72.47,72.7,"M",2003,3,5
34,72.47,72.92,"M",2004,4,5
30,82,85.35,"F",2004,0,3
33,NA,96.32,"F",2007,1,3
34,NA,86.07,"F",2008,2,3
24,66.32,69.02,"M",2005,0,3
25,63.42,64.55,"M",2006,1,3
25,63.43,64.55,"M",2006,2,3
45,107.4,108.4,"M",2000,0,3
46,135.4,136.2,"M",2001,1,3
49,81.33,82.37,"M",2004,2,3
31,79.33,80.33,"M",2004,0,3
32,74.83,75.9,"M",2005,1,3
33,81.65,83.83,"M",2006,2,3
46,NA,83.78,"M",1999,0,3
47,79.93,80.33,"M",2000,1,3
48,84.48,88.85,"M",2001,2,3
21,64.35,64.6,"M",2005,0,3
22,63.28,63.58,"M",2006,1,3
24,NA,60.07,"M",2008,2,3
22,74.33,75.37,"M",2006,0,3
24,NA,77.97,"M",2008,1,3
24,NA,84.45,"M",2008,2,3
30,87.47,90.6,"M",2002,0,4
32,90.58,97.47,"M",2004,1,4
33,84.1,87.72,"M",2005,2,4
34,87.62,89.43,"M",2006,3,4
23,81.77,83.45,"F",2003,0,5
24,79.3,80.65,"F",2004,1,5
25,82.13,83.42,"F",2005,2,5
27,NA,91.15,"F",2007,3,5
28,NA,87.68,"F",2008,4,5
41,NA,93.85,"F",1999,0,3
43,98.3,98.9,"F",2001,1,3
44,93.4,95.95,"F",2002,2,3
31,95.03,98.9,"M",2001,0,5
32,88.4,94.8,"M",2002,1,5
33,82.32,89.02,"M",2003,2,5
34,90.65,94.1,"M",2004,3,5
38,NA,90.97,"M",2008,4,5
59,83.85,84.83,"M",2000,0,6
60,82.73,83.15,"M",2001,1,6
61,83.63,86.02,"M",2002,2,6
62,80.13,80.53,"M",2003,3,6
63,84.23,85.25,"M",2004,4,6
66,NA,93.32,"M",2007,5,6
29,NA,80.52,"M",1999,0,5
30,84.33,86.13,"M",2000,1,5
31,77.38,78.62,"M",2001,2,5
32,76.82,77.67,"M",2002,3,5
38,NA,84.37,"M",2008,4,5
29,83.02,86.93,"M",2003,0,3
30,82.72,86.25,"M",2004,1,3
31,79.4,81.07,"M",2005,2,3
38,89.55,90.28,"F",2003,0,3
39,91.7,95.18,"F",2004,1,3
40,92.07,94.02,"F",2005,2,3
26,70.88,71.05,"F",2003,0,3
27,72.8,73.25,"F",2004,1,3
30,NA,76.77,"F",2007,2,3
33,94.78,96.87,"F",2003,0,5
34,87.65,88.78,"F",2004,1,5
35,85.42,86.65,"F",2005,2,5
37,NA,91.57,"F",2007,3,5
38,NA,108.6,"F",2008,4,5
33,69.83,70.42,"M",2003,0,5
34,69.58,70.05,"M",2004,1,5
35,67.67,68.03,"M",2005,2,5
37,NA,66.87,"M",2007,3,5
38,NA,71.07,"M",2008,4,5
26,98.42,103.7,"F",2001,0,4
27,98.65,104.3,"F",2002,1,4
29,94.8,99.57,"F",2004,2,4
30,98.27,104.2,"F",2005,3,4
46,92.3,95.35,"M",2000,0,5
47,82.27,83.9,"M",2001,1,5
49,90.18,92.95,"M",2003,2,5
51,90.17,96.85,"M",2005,3,5
54,NA,96.95,"M",2008,4,5
27,105.1,108.4,"F",2005,0,3
28,103.2,108.9,"F",2006,1,3
29,NA,110.2,"F",2007,2,3
30,108.9,112.8,"F",2000,0,4
32,109.1,115.4,"F",2002,1,4
33,96.72,103.1,"F",2003,2,4
34,97.47,100.4,"F",2004,3,4
53,83.98,87.03,"F",2002,0,7
54,74.3,74.57,"F",2003,1,7
55,75.15,75.27,"F",2004,2,7
56,74.22,74.4,"F",2005,3,7
57,74.25,74.33,"F",2006,4,7
58,NA,74.83,"F",2007,5,7
59,NA,79.52,"F",2008,6,7
53,116.4,118.8,"F",2002,0,3
54,113.4,118.6,"F",2003,1,3
55,112.4,116.5,"F",2004,2,3
24,82.75,84.17,"F",2005,0,4
25,82.27,83.2,"F",2006,1,4
26,NA,80.98,"F",2007,2,4
27,NA,84.78,"F",2008,3,4
42,116.3,117.9,"F",2000,0,5
43,114.2,114.4,"F",2001,1,5
44,114.5,114.6,"F",2002,2,5
46,111.8,111.8,"F",2004,3,5
48,124.5,125.1,"F",2006,4,5
30,99.08,104.6,"F",2001,0,5
31,87.85,91.87,"F",2002,1,5
32,85.65,88.55,"F",2003,2,5
34,92.07,92.07,"F",2005,3,5
36,NA,95.23,"F",2007,4,5
34,97.52,99.33,"F",2002,0,4
35,93.45,99.15,"F",2003,1,4
36,105.1,111.1,"F",2004,2,4
37,104.5,104.5,"F",2005,3,4
24,87.77,89.93,"F",2002,0,3
25,90.67,93.28,"F",2003,1,3
30,NA,104.8,"F",2008,2,3
35,79.42,80.35,"F",2006,0,3
36,NA,76.23,"F",2007,1,3
37,NA,85.52,"F",2008,2,3
34,84.3,90.62,"F",2006,0,3
35,NA,79.72,"F",2007,1,3
36,NA,76.55,"F",2008,2,3
25,NA,90.98,"F",1999,0,4
26,96.65,100.2,"F",2000,1,4
27,92.87,97.6,"F",2001,2,4
28,88.72,91.63,"F",2002,3,4
32,100.6,103,"F",2002,0,3
33,93.33,94.72,"F",2003,1,3
37,NA,87.98,"F",2007,2,3
21,80.08,81.9,"F",2004,0,4
22,83.92,87.6,"F",2005,1,4
23,80.48,87.08,"F",2006,2,4
24,NA,77.07,"F",2007,3,4
27,83.55,89.63,"F",2003,0,3
28,79.48,82.42,"F",2004,1,3
31,NA,89.63,"F",2007,2,3
36,97.42,100.4,"F",2003,0,3
37,89.27,90.73,"F",2004,1,3
38,89.78,92.4,"F",2005,2,3
23,94.23,98.85,"F",2001,0,3
24,85.32,86.68,"F",2002,1,3
27,99.23,105.8,"F",2005,2,3
24,76.37,79.05,"F",2004,0,3
25,83.25,87.27,"F",2005,1,3
26,75.7,76.92,"F",2006,2,3
26,102.2,108.6,"F",2006,0,3
27,NA,109.6,"F",2007,1,3
28,NA,104.5,"F",2008,2,3
25,101.4,107.5,"F",2006,0,3
26,NA,100.9,"F",2007,1,3
27,NA,112,"F",2008,2,3
37,85.33,87.45,"F",2000,0,7
39,87.87,89.3,"F",2002,1,7
40,88.32,89.12,"F",2003,2,7
42,79.82,81.22,"F",2005,3,7
43,84.48,87.52,"F",2006,4,7
44,NA,85.78,"F",2007,5,7
45,NA,88.35,"F",2008,6,7
59,109.6,111,"M",2005,0,3
60,116.7,123.3,"M",2006,1,3
61,NA,103.7,"M",2007,2,3
45,93.3,97.85,"M",2001,0,7
46,81.92,83.82,"M",2002,1,7
47,78.07,79.48,"M",2003,2,7
48,83.45,86.8,"M",2004,3,7
49,81.88,83.2,"M",2005,4,7
51,NA,84.7,"M",2007,5,7
52,NA,83.67,"M",2008,6,7
42,NA,76.75,"M",1999,0,6
44,77.55,82.43,"M",2001,1,6
45,75.1,78.62,"M",2002,2,6
46,100.2,104,"M",2003,3,6
47,80.63,82.53,"M",2004,4,6
48,103.2,105.5,"M",2005,5,6
29,71.55,72.05,"M",2000,0,5
30,68.68,69.6,"M",2001,1,5
35,82.95,84.2,"M",2006,2,5
36,NA,79.82,"M",2007,3,5
37,NA,77.48,"M",2008,4,5
47,79.82,81.12,"M",2001,0,4
48,82.32,84.13,"M",2002,1,4
50,85.45,88.3,"M",2004,2,4
51,84.65,85.95,"M",2005,3,4
34,71.2,71.52,"M",2000,0,4
37,66.55,66.78,"M",2003,1,4
38,68.02,68.43,"M",2004,2,4
42,NA,69.78,"M",2008,3,4
33,94.67,97.72,"M",2000,0,3
34,96.9,101.8,"M",2001,1,3
36,79.78,82.23,"M",2003,2,3
32,NA,95.1,"M",1999,0,6
33,84.08,86.68,"M",2000,1,6
34,73.2,75.28,"M",2001,2,6
35,76.6,77.62,"M",2002,3,6
36,77.75,80.15,"M",2003,4,6
39,85.97,88.98,"M",2006,5,6
32,NA,56.1,"M",1999,0,6
34,56.4,56.47,"M",2001,1,6
35,57.63,57.7,"M",2002,2,6
36,57.5,57.58,"M",2003,3,6
38,58.65,58.72,"M",2005,4,6
39,58.03,58.07,"M",2006,5,6
52,100.2,103.2,"M",2000,0,4
53,87.98,88.8,"M",2001,1,4
55,89.37,91.75,"M",2003,2,4
56,90.68,97.65,"M",2004,3,4
26,94.8,102.8,"F",2006,0,3
27,NA,91.58,"F",2007,1,3
28,NA,86.17,"F",2008,2,3
25,94.68,101.1,"F",2002,0,3
26,98.73,105.5,"F",2003,1,3
28,86.77,89.88,"F",2005,2,3
37,98.03,99.58,"F",2004,0,4
37,98.02,99.58,"F",2004,1,4
38,100,108.1,"F",2005,2,4
39,102.6,109.4,"F",2006,3,4
30,95.85,97.82,"F",2000,0,3
36,93.42,101,"F",2006,1,3
38,NA,92.78,"F",2008,2,3
27,90.17,92.8,"F",2003,0,3
28,99.5,106.9,"F",2004,1,3
29,87.67,90.73,"F",2005,2,3
30,NA,82.22,"F",1999,0,3
31,77.63,78.35,"F",2000,1,3
33,79,82.37,"F",2002,2,3
28,94,95.58,"F",2000,0,3
29,101,103.7,"F",2001,1,3
30,109.7,111.3,"F",2002,2,3
34,110.3,115,"F",2003,0,3
38,NA,112.1,"F",2007,1,3
39,NA,108.6,"F",2008,2,3
25,72.87,73.05,"F",2000,0,3
30,66.38,66.72,"F",2005,1,3
32,NA,65.28,"F",2007,2,3
42,120.5,124.7,"F",2004,0,4
44,114.5,123,"F",2006,1,4
45,NA,112.3,"F",2007,2,4
46,NA,111.2,"F",2008,3,4
41,NA,91.47,"F",1999,0,3
42,88.22,89.83,"F",2000,1,3
43,96.75,98.55,"F",2001,2,3
63,NA,73.82,"M",1999,0,4
66,84.77,85.48,"M",2002,1,4
67,86.07,87.03,"M",2003,2,4
69,105.4,109.8,"M",2005,3,4
48,100.2,107,"M",2004,0,5
49,106.8,113.9,"M",2005,1,5
50,98.83,107,"M",2006,2,5
51,NA,109.7,"M",2007,3,5
52,NA,107.4,"M",2008,4,5
19,56.65,56.72,"M",2005,0,3
20,56.03,56.1,"M",2006,1,3
21,NA,56.95,"M",2007,2,3
25,98.38,103.7,"F",2001,0,6
26,98.62,104.3,"F",2002,1,6
27,95.43,97.8,"F",2003,2,6
28,94.8,99.57,"F",2004,3,6
29,104.2,104.2,"F",2005,4,6
31,NA,98.92,"F",2007,5,6
29,99.48,102.3,"F",2000,0,7
30,102.1,106.1,"F",2001,1,7
32,99.63,105.1,"F",2003,2,7
33,99.82,107.1,"F",2004,3,7
34,102.3,108,"F",2005,4,7
35,105.8,110,"F",2006,5,7
37,NA,105.3,"F",2008,6,7
25,95.4,97.87,"F",2006,0,3
26,NA,95.5,"F",2007,1,3
27,NA,87.7,"F",2008,2,3
25,95.78,99.57,"F",2001,0,7
26,95.45,99.73,"F",2002,1,7
27,129.7,135.7,"F",2003,2,7
28,88.7,93.9,"F",2004,3,7
30,125.4,132.7,"F",2006,4,7
31,NA,87.4,"F",2007,5,7
32,NA,93.03,"F",2008,6,7
24,NA,102.7,"F",1999,0,3
32,NA,99.28,"F",2007,1,3
33,NA,100.4,"F",2008,2,3
24,NA,81.25,"F",1999,0,3
28,70.45,70.73,"F",2003,1,3
29,71.68,72.53,"F",2004,2,3
24,99.85,105.4,"F",2006,0,3
25,NA,95.73,"F",2007,1,3
26,NA,118,"F",2008,2,3
24,80.35,82.03,"F",2002,0,4
25,84.37,85.53,"F",2003,1,4
26,103.3,107.6,"F",2004,2,4
27,118.6,121.9,"F",2005,3,4
24,101,105.3,"F",2003,0,3
26,101.8,108,"F",2005,1,3
27,107.2,116.5,"F",2006,2,3
32,91.08,96.52,"F",2003,0,3
33,94.72,100.1,"F",2004,1,3
34,104.9,107,"F",2005,2,3
34,77.92,78.77,"F",2003,0,4
36,73.75,73.93,"F",2005,1,4
37,71.37,71.62,"F",2006,2,4
38,NA,100.3,"F",2007,3,4
42,65.02,65.32,"M",2004,0,3
45,NA,65.35,"M",2007,1,3
46,NA,68.72,"M",2008,2,3
34,86.57,95.65,"F",2001,0,3
36,81.97,84.28,"F",2003,1,3
37,75.2,75.62,"F",2004,2,3
28,75.02,75.75,"F",2004,0,5
29,74.23,74.62,"F",2005,1,5
30,73.45,73.93,"F",2006,2,5
31,NA,76.47,"F",2007,3,5
32,NA,82.17,"F",2008,4,5
34,97.07,100.6,"F",2003,0,3
35,97.08,103.4,"F",2004,1,3
37,96.18,99.45,"F",2006,2,3
30,102.8,106.5,"F",2003,0,4
31,95.95,99.52,"F",2004,1,4
34,NA,NA,"F",2007,2,4
35,NA,98.15,"F",2008,3,4
30,102,102,"F",2005,0,3
31,87.68,91.6,"F",2006,1,3
32,NA,84.25,"F",2007,2,3
24,92.5,96.92,"F",2005,0,3
25,88.55,93.9,"F",2006,1,3
26,NA,90.83,"F",2007,2,3
29,136.2,139.3,"F",2004,0,4
30,138.1,138.1,"F",2005,1,4
32,NA,NA,"F",2007,2,4
33,NA,132.4,"F",2008,3,4
40,88.13,94.82,"F",2003,0,3
42,89.43,91.02,"F",2005,1,3
45,NA,90.25,"F",2008,2,3
25,NA,100.6,"F",1999,0,3
30,106.8,110.1,"F",2004,1,3
31,105.8,109.3,"F",2005,2,3
25,NA,98.85,"F",1999,0,7
26,103,106.2,"F",2000,1,7
27,99.6,107.1,"F",2001,2,7
28,98.2,102.6,"F",2002,3,7
29,97.05,100.6,"F",2003,4,7
30,97.08,103.4,"F",2004,5,7
31,88.93,92.13,"F",2005,6,7
29,76.7,77.75,"F",2000,0,3
30,76.98,78.28,"F",2001,1,3
31,82.08,82.63,"F",2002,2,3
30,89.08,89.9,"F",2004,0,3
33,NA,87.9,"F",2007,1,3
34,NA,91.28,"F",2008,2,3
28,97.57,102.3,"F",2001,0,3
29,90.7,92.5,"F",2002,1,3
30,83.12,85.05,"F",2003,2,3
30,88.48,93.08,"F",2006,0,3
30,109.4,114.5,"F",2006,1,3
32,NA,97.83,"F",2008,2,3
25,95.42,98.75,"F",2003,0,5
26,89.77,92.45,"F",2004,1,5
27,83.68,86.8,"F",2005,2,5
28,81.7,84.93,"F",2006,3,5
29,NA,83.42,"F",2007,4,5
28,115.7,128.5,"F",2001,0,3
29,90.6,92.25,"F",2002,1,3
30,96.43,102,"F",2003,2,3
27,104,106.3,"F",2002,0,3
28,93.1,95.62,"F",2003,1,3
31,91.07,96.85,"F",2006,2,3
45,NA,88.72,"F",1999,0,3
48,118.1,122.2,"F",2002,1,3
50,120.5,125.4,"F",2004,2,3
29,94.93,101.4,"F",2006,0,3
30,NA,86.07,"F",2007,1,3
31,NA,83.72,"F",2008,2,3
27,NA,83.43,"F",1999,0,7
28,81.55,82.62,"F",2000,1,7
29,80.2,80.62,"F",2001,2,7
30,79.4,80.72,"F",2002,3,7
31,78.43,78.88,"F",2003,4,7
32,82.33,84.47,"F",2004,5,7
33,78.62,79.2,"F",2005,6,7
27,118.6,121.7,"F",2003,0,3
28,118,123.9,"F",2004,1,3
30,130,138.5,"F",2006,2,3
42,82.93,84.17,"F",2000,0,5
43,87.83,92.2,"F",2001,1,5
44,89.48,90.67,"F",2002,2,5
45,91.75,92.42,"F",2003,3,5
48,101.9,104,"F",2006,4,5
33,106.3,112.2,"F",2003,0,5
34,100.3,106.6,"F",2004,1,5
35,104.2,112.1,"F",2005,2,5
37,NA,109.1,"F",2007,3,5
38,NA,109,"F",2008,4,5
26,NA,78.53,"F",1999,0,7
27,76.67,77.43,"F",2000,1,7
28,75.13,76.33,"F",2001,2,7
29,76.75,77.52,"F",2002,3,7
30,85,101.2,"F",2003,4,7
32,79.27,80.55,"F",2005,5,7
33,83.38,87.15,"F",2006,6,7
29,84.47,86.63,"F",2003,0,5
30,87.8,94.53,"F",2004,1,5
31,88.38,96.52,"F",2005,2,5
32,90.15,92.15,"F",2006,3,5
33,NA,92.37,"F",2007,4,5
39,99.17,106.1,"F",2002,0,3
40,96.63,102.3,"F",2003,1,3
42,101.9,105.3,"F",2005,2,3
27,NA,94.87,"F",1999,0,3
30,92.7,98.5,"F",2002,1,3
32,106.6,113.4,"F",2004,2,3
46,NA,90.67,"F",1999,0,5
48,88.43,91.18,"F",2001,1,5
49,88.8,93.28,"F",2002,2,5
